epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.969660222530365,0.08298622816801071
0,8.780143737792969,,,249,,0.17903834581375122,,
1,,,,499,,,0.9781553149223328,0.0654882863163948
1,1.690009593963623,,,499,,0.07684198021888733,,
2,,,,749,,,0.9902912378311157,0.03233858942985535
2,1.6893692016601562,,,749,,0.05924823135137558,,
3,,,,999,,,0.9866504669189453,0.03484218567609787
3,1.5754420757293701,,,999,,0.04649164527654648,,
4,,,,1249,,,0.987864077091217,0.0254617128521204
4,1.6586401462554932,,,1249,,0.040721140801906586,,
5,,,,1499,,,0.9890776872634888,0.03089069575071335
5,1.6723980903625488,,,1499,,0.034240201115608215,,
6,,,,1749,,,0.9963592290878296,0.01568010449409485
6,1.5766315460205078,,,1749,,0.03054027445614338,,
7,,,,1999,,,0.9963592290878296,0.013041623868048191
7,1.6136929988861084,,,1999,,0.02719593048095703,,
8,,,,2249,,,0.9927184581756592,0.016917530447244644
8,1.5946648120880127,,,2249,,0.028132636100053787,,
9,,,,2499,,,0.9963592290878296,0.011051305569708347
9,1.5935776233673096,,,2499,,0.021016251295804977,,
10,,,,2749,,,0.9927184581756592,0.013741470873355865
10,1.8289997577667236,,,2749,,0.020589951425790787,,
11,,,,2999,,,0.9963592290878296,0.009717602282762527
11,1.6179804801940918,,,2999,,0.017512328922748566,,
12,,,,3249,,,0.9975728392601013,0.006795442663133144
12,1.594059944152832,,,3249,,0.014492008835077286,,
13,,,,3499,,,0.9963592290878296,0.00771396653726697
13,1.589543342590332,,,3499,,0.014822721481323242,,
14,,,,3749,,,0.9963592290878296,0.007754605729132891
14,1.6294708251953125,,,3749,,0.010527475737035275,,
15,,,,3999,,,0.9963592290878296,0.0103475796058774
15,1.6068463325500488,,,3999,,0.01831311546266079,,
16,,,,4249,,,0.9963592290878296,0.005863141734153032
16,1.6195850372314453,,,4249,,0.012119200080633163,,
17,,,,4499,,,0.9963592290878296,0.007454271893948317
17,1.779550313949585,,,4499,,0.009906948544085026,,
18,,,,4749,,,0.9987863898277283,0.003988651093095541
18,1.5821006298065186,,,4749,,0.009183360263705254,,
19,,,,4999,,,0.9975728392601013,0.005386362783610821
19,1.6372640132904053,,,4999,,0.014504692517220974,,
20,,2889984.0,49506.00390625,5000,0.9962639808654785,,,
