epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.969660222530365,0.08993605524301529
0,2.6175382137298584,,,249,,0.2042897641658783,,
1,,,,499,,,0.969660222530365,0.07467714697122574
1,2.571629047393799,,,499,,0.09377095848321915,,
2,,,,749,,,0.987864077091217,0.047416865825653076
2,1.9644875526428223,,,749,,0.06863166391849518,,
3,,,,999,,,0.987864077091217,0.034701745957136154
3,1.685492992401123,,,999,,0.057770680636167526,,
4,,,,1249,,,0.9902912378311157,0.034018900245428085
4,1.666175365447998,,,1249,,0.046576790511608124,,
5,,,,1499,,,0.9902912378311157,0.025406774133443832
5,1.5943810939788818,,,1499,,0.03898926451802254,,
6,,,,1749,,,0.9939320683479309,0.017128394916653633
6,1.8106319904327393,,,1749,,0.03151099756360054,,
7,,,,1999,,,0.9902912378311157,0.023839734494686127
7,1.6217811107635498,,,1999,,0.027956802397966385,,
8,,,,2249,,,0.9890776872634888,0.03155345842242241
8,1.6677143573760986,,,2249,,0.03112187422811985,,
9,,,,2499,,,0.9915048480033875,0.018868232145905495
9,1.5741801261901855,,,2499,,0.024621525779366493,,
10,,,,2749,,,0.9951456189155579,0.016000039875507355
10,1.6496007442474365,,,2749,,0.027105750516057014,,
11,,,,2999,,,0.9963592290878296,0.008906702511012554
11,2.27999210357666,,,2999,,0.020306594669818878,,
12,,,,3249,,,0.9939320683479309,0.012566743418574333
12,1.8526949882507324,,,3249,,0.024805082008242607,,
13,,,,3499,,,0.9951456189155579,0.015838583931326866
13,2.243854284286499,,,3499,,0.018394220620393753,,
14,,,,3749,,,0.9963592290878296,0.00847384613007307
14,1.9985651969909668,,,3749,,0.020098337903618813,,
15,,,,3999,,,0.9975728392601013,0.007143060676753521
15,1.7322978973388672,,,3999,,0.016401605680584908,,
16,,,,4249,,,0.9987863898277283,0.006178522016853094
16,1.9865787029266357,,,4249,,0.01640796661376953,,
17,,,,4499,,,0.9927184581756592,0.0143977589905262
17,1.9204082489013672,,,4499,,0.014600479044020176,,
18,,,,4749,,,0.9975728392601013,0.007398560177534819
18,1.7340998649597168,,,4749,,0.013965744525194168,,
19,,,,4999,,,0.9987863898277283,0.0049665141850709915
19,1.7053287029266357,,,4999,,0.01090109534561634,,
20,,1640704.0,25954.0,5000,0.9962639808654785,,,
