epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.9660193920135498,0.1207105964422226
0,2.596604824066162,,,249,,0.29114267230033875,,
1,,,,499,,,0.9793689250946045,0.06678718328475952
1,1.914484977722168,,,499,,0.1057831346988678,,
2,,,,749,,,0.9866504669189453,0.04798116534948349
2,1.7715661525726318,,,749,,0.08094529062509537,,
3,,,,999,,,0.9890776872634888,0.032969992607831955
3,1.8287770748138428,,,999,,0.05997423082590103,,
4,,,,1249,,,0.987864077091217,0.04056982323527336
4,1.6868736743927002,,,1249,,0.05517439544200897,,
5,,,,1499,,,0.9939320683479309,0.024539224803447723
5,1.5874724388122559,,,1499,,0.04247352480888367,,
6,,,,1749,,,0.9890776872634888,0.02952803298830986
6,1.6543779373168945,,,1749,,0.038858380168676376,,
7,,,,1999,,,0.9939320683479309,0.02086101472377777
7,1.6253788471221924,,,1999,,0.03928743302822113,,
8,,,,2249,,,0.9975728392601013,0.014658459462225437
8,1.6509003639221191,,,2249,,0.032353587448596954,,
9,,,,2499,,,0.9805825352668762,0.04325931891798973
9,1.7383089065551758,,,2499,,0.031208405271172523,,
10,,,,2749,,,0.9975728392601013,0.0134632783010602
10,1.6402690410614014,,,2749,,0.03114950843155384,,
11,,,,2999,,,0.9951456189155579,0.015315369702875614
11,1.6297461986541748,,,2999,,0.027810823172330856,,
12,,,,3249,,,0.9963592290878296,0.011455373838543892
12,1.6518549919128418,,,3249,,0.026273805648088455,,
13,,,,3499,,,0.9951456189155579,0.014791571535170078
13,1.5888173580169678,,,3499,,0.0241460632532835,,
14,,,,3749,,,0.9987863898277283,0.008409760892391205
14,1.6662354469299316,,,3749,,0.02155395597219467,,
15,,,,3999,,,0.9987863898277283,0.008791722357273102
15,1.6333339214324951,,,3999,,0.020383505150675774,,
16,,,,4249,,,0.9975728392601013,0.009470602497458458
16,1.6630005836486816,,,4249,,0.024315208196640015,,
17,,,,4499,,,0.9951456189155579,0.016742508858442307
17,1.7570409774780273,,,4499,,0.022473499178886414,,
18,,,,4749,,,1.0,0.007190836127847433
18,1.6657884120941162,,,4749,,0.019937196746468544,,
19,,,,4999,,,0.9987863898277283,0.006689007859677076
19,1.6306536197662354,,,4999,,0.01714537851512432,,
20,,822144.0,13218.0,5000,0.9950186610221863,,,
