epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.9757281541824341,0.07247130572795868
0,1.7439160346984863,,,249,,0.19068962335586548,,
1,,,,499,,,0.981796145439148,0.046372853219509125
1,1.6484639644622803,,,499,,0.09410014748573303,,
2,,,,749,,,0.9793689250946045,0.0570644810795784
2,1.5829293727874756,,,749,,0.07173407077789307,,
3,,,,999,,,0.9866504669189453,0.02974024787545204
3,1.572267770767212,,,999,,0.050292033702135086,,
4,,,,1249,,,0.987864077091217,0.03137890249490738
4,1.6633825302124023,,,1249,,0.04160064831376076,,
5,,,,1499,,,0.9963592290878296,0.01953691802918911
5,1.7251524925231934,,,1499,,0.03441649302840233,,
6,,,,1749,,,0.9951456189155579,0.017407285049557686
6,1.5274732112884521,,,1749,,0.0302093755453825,,
7,,,,1999,,,0.9975728392601013,0.012748384848237038
7,1.552734613418579,,,1999,,0.027356592938303947,,
8,,,,2249,,,0.9975728392601013,0.010924383997917175
8,1.58614182472229,,,2249,,0.025948673486709595,,
9,,,,2499,,,0.9951456189155579,0.01238383911550045
9,1.5837078094482422,,,2499,,0.024216650053858757,,
10,,,,2749,,,0.9975728392601013,0.011952138505876064
10,1.5904395580291748,,,2749,,0.021528229117393494,,
11,,,,2999,,,0.9975728392601013,0.0063726045191287994
11,1.6160471439361572,,,2999,,0.016305861994624138,,
12,,,,3249,,,0.9963592290878296,0.012551872059702873
12,1.6954984664916992,,,3249,,0.017599105834960938,,
13,,,,3499,,,0.9805825352668762,0.04565161094069481
13,1.5579075813293457,,,3499,,0.01633329875767231,,
14,,,,3749,,,0.9951456189155579,0.013439496979117393
14,1.6081945896148682,,,3749,,0.0168731901794672,,
15,,,,3999,,,0.9987863898277283,0.005966265685856342
15,1.571106195449829,,,3999,,0.016237851232290268,,
16,,,,4249,,,0.9939320683479309,0.011862841434776783
16,1.6332485675811768,,,4249,,0.015835292637348175,,
17,,,,4499,,,0.9987863898277283,0.0055890073999762535
17,1.67862868309021,,,4499,,0.01304671447724104,,
18,,,,4749,,,0.9987863898277283,0.006009895820170641
18,1.570310115814209,,,4749,,0.014809896238148212,,
19,,,,4999,,,0.9963592290878296,0.016277339309453964
19,1.6031136512756348,,,4999,,0.02013498917222023,,
20,,3277824.0,51426.00390625,5000,0.9912827014923096,,,
